source,target,type
ก๙๑,ก๙๑_1,broader
ก๙๑,ก๙๑_2,broader
ก๙๑,ก๙๑_3,broader
ก๙๑,ก๙๑_4,broader
ก๙๑,ก๙๑_5,broader
ก๙๑,ก๙๑_6,broader
ก๙๑,ก๙๑_7,broader
ก๙๑,ก๙๑_8,broader
ก๙๑,ก๙๑_9,broader
ก๙๑,ก๙๑_10,broader
ก๙๑,ก๙๑_11,broader
ก๙๑,ก๙๑_12,broader
ก๙๑,ก๙๑_13,broader
ก๙๑,ก๙๑_14,broader
ก๙๒,ก๙๒_1,broader
ก๙๒,ก๙๒_2,broader
ก๙๒,ก๙๒_3,broader
ก๙๓,ก๙๓_1,broader
ก๙๓,ก๙๓_2,broader
ก๙๔,ก๙๔_1,broader
ก๙๔,ก๙๔_2,broader
ก๙๔,ก๙๔_3,broader
ก๙๔,ก๙๔_4,broader
ก๙๕,ก๙๕_1,broader
ก๙๕,ก๙๕_2,broader
ก๙๕,ก๙๕_3,broader
ก๙๕,ก๙๕_4,broader
ก๙๕,ก๙๕_5,broader
ก๙๕,ก๙๕_6,broader
ก๙๖,ก๙๖_1,broader
ก๙๖,ก๙๖_2,broader
ก๙๖,ก๙๖_3,broader
ก๙๖,ก๙๖_4,broader
ก๙๖,ก๙๖_5,broader
ก๙๖,ก๙๖_6,broader
ก๙๖,ก๙๖_7,broader
ก๙๖,ก๙๖_8,broader
ก๙๖,ก๙๖_9,broader
ก๙๖,ก๙๖_10,broader
ก๙๖,ก๙๖_11,broader
ก๙๖,ก๙๖_12,broader
ก๙๖,ก๙๖_13,broader
ก๙๗,ก๙๗_1,broader
ก๙๗,ก๙๗_2,broader
ก๙๗,ก๙๗_3,broader
ก๙๗,ก๙๗_4,broader
ก๙๗,ก๙๗_5,broader
ก๙๘,ก๙๘_1,broader
ก๙๘,ก๙๘_2,broader
ก๙๘,ก๙๘_3,broader
ก๙๘,ก๙๘_4,broader
ก๙๘,ก๙๘_5,broader
ก๙๘,ก๙๘_6,broader
ก๙๘,ก๙๘_7,broader
ก๙๘,ก๙๘_8,broader
ก๙๘,ก๙๘_9,broader
ก๙๘,ก๙๘_10,broader
ก๙๘,ก๙๘_11,broader
ก๙๘,ก๙๘_12,broader
ก๙๘,ก๙๘_13,broader
ก๙๙,ก๙๙_1,broader
ก๙๙,ก๙๙_2,broader
ก๙๙,ก๙๙_3,broader
ก๑๐๐,ก๑๐๐_1,broader
ก๑๐๐,ก๑๐๐_2,broader
ก๑๐๐,ก๑๐๐_3,broader
ก๑๐๐,ก๑๐๐_4,broader
ก๑๐๐,ก๑๐๐_5,broader
ก๑๐๐,ก๑๐๐_6,broader
ก๑๐๐,ก๑๐๐_7,broader
